run,auc_sl,acc_sl,ppv_sl,npv_sl,sens_sl,spec_sl,mean_auc_sl
200,0.721014493,NA,0.52173913,0.833333333,0.857142857,0.476190476,NA
201,0.77,NA,0.55,0.8,0.785714286,0.571428571,NA
202,0.709401709,NA,0.730769231,0.333333333,0.76,0.3,NA
203,0.836956522,NA,0.869565217,0.5,0.769230769,0.666666667,NA
204,0.742424242,NA,0.625,0.545454545,0.75,0.4,NA
205,0.784,NA,0.76,0.5,0.791666667,0.454545455,NA
206,0.564,NA,0.48,0.5,0.705882353,0.277777778,NA
207,0.713675214,NA,0.692307692,0.555555556,0.818181818,0.384615385,NA
208,0.731060606,NA,0.625,0.727272727,0.833333333,0.470588235,NA
209,0.741258741,NA,0.727272727,0.538461538,0.727272727,0.538461538,NA
210,0.75,NA,0.652173913,0.666666667,0.789473684,0.5,NA
211,0.785714286,NA,0.75,0.428571429,0.84,0.3,NA
212,0.566433566,NA,0.681818182,0.307692308,0.625,0.363636364,NA
213,0.768,NA,0.76,0.7,0.863636364,0.538461538,NA
214,0.714285714,NA,0.666666667,0.5,0.666666667,0.5,NA
215,0.806666667,NA,0.85,0.466666667,0.68,0.7,NA
216,0.806818182,NA,0.791666667,0.545454545,0.791666667,0.545454545,NA
217,0.7,NA,0.68,0.7,0.85,0.466666667,NA
218,0.571969697,NA,0.666666667,0.454545455,0.727272727,0.384615385,NA
219,0.701149425,NA,0.689655172,0.666666667,0.909090909,0.307692308,NA
220,0.684782609,NA,0.739130435,0.333333333,0.68,0.4,NA
221,0.728,NA,0.56,0.7,0.823529412,0.388888889,NA
222,0.857142857,NA,0.821428571,0.714285714,0.92,0.5,NA
223,0.63986014,NA,0.590909091,0.538461538,0.684210526,0.4375,NA
224,0.673469388,NA,0.75,0.285714286,0.807692308,0.222222222,NA
225,0.713768116,NA,0.608695652,0.5,0.7,0.4,NA
226,0.833333333,NA,0.791666667,0.636363636,0.826086957,0.583333333,NA
227,0.692,NA,0.64,0.7,0.842105263,0.4375,NA
228,0.721014493,NA,0.739130435,0.5,0.739130435,0.5,NA
229,0.670940171,NA,0.692307692,0.444444444,0.782608696,0.333333333,NA
230,0.810606061,NA,0.708333333,0.636363636,0.80952381,0.5,NA
231,0.68627451,NA,0.666666667,0.411764706,0.545454545,0.538461538,NA
232,0.717948718,NA,0.615384615,0.444444444,0.761904762,0.285714286,NA
233,0.706521739,NA,0.782608696,0.416666667,0.72,0.5,NA
234,0.703947368,NA,0.894736842,0.25,0.586206897,0.666666667,NA
235,0.722222222,NA,0.703703704,0.625,0.863636364,0.384615385,NA
236,0.734848485,NA,0.875,0.545454545,0.807692308,0.666666667,NA
237,0.784090909,NA,0.708333333,0.636363636,0.80952381,0.5,NA
238,0.545918367,NA,0.642857143,0.285714286,0.782608696,0.166666667,NA
239,0.775362319,NA,0.782608696,0.583333333,0.782608696,0.583333333,NA
240,0.768939394,NA,0.708333333,0.545454545,0.772727273,0.461538462,NA
241,0.78,NA,0.84,0.2,0.724137931,0.333333333,NA
242,0.656,NA,0.32,0.9,0.888888889,0.346153846,NA
243,0.663043478,NA,0.782608696,0.166666667,0.642857143,0.285714286,NA
244,0.810606061,NA,0.875,0.454545455,0.777777778,0.625,NA
245,0.738095238,NA,0.714285714,0.571428571,0.714285714,0.571428571,NA
246,0.783216783,NA,0.954545455,0.384615385,0.724137931,0.833333333,NA
247,0.829931973,NA,0.857142857,0.571428571,0.75,0.727272727,NA
248,0.753787879,NA,0.583333333,1,1,0.523809524,NA
249,0.643356643,NA,0.681818182,0.615384615,0.75,0.533333333,NA
250,0.71969697,NA,0.708333333,0.545454545,0.772727273,0.461538462,NA
251,0.678321678,NA,0.727272727,0.461538462,0.695652174,0.5,NA
252,0.806122449,NA,0.761904762,0.5,0.695652174,0.583333333,NA
253,0.616666667,NA,0.7,0.466666667,0.636363636,0.538461538,NA
254,0.82,NA,0.7,0.8,0.954545455,0.307692308,NA
255,0.821428571,NA,0.678571429,0.857142857,0.95,0.4,NA
256,0.713333333,NA,0.8,0.4,0.64,0.6,NA
257,0.704081633,NA,0.714285714,0.571428571,0.714285714,0.571428571,NA
258,0.742424242,NA,0.708333333,0.636363636,0.80952381,0.5,NA
259,0.776223776,NA,0.818181818,0.384615385,0.692307692,0.555555556,NA
260,0.736,NA,0.8,0.5,0.8,0.5,NA
261,0.636,NA,0.64,0.3,0.695652174,0.25,NA
262,0.730769231,NA,0.545454545,0.769230769,0.8,0.5,NA
263,0.734848485,NA,0.75,0.545454545,0.782608696,0.5,NA
264,0.713286713,NA,0.909090909,0.384615385,0.714285714,0.714285714,NA
265,0.712121212,NA,0.625,0.636363636,0.789473684,0.4375,NA
266,0.756666667,NA,0.8,0.466666667,0.666666667,0.636363636,NA
267,0.746710526,NA,0.736842105,0.625,0.7,0.666666667,NA
268,0.810606061,NA,0.875,0.363636364,0.75,0.571428571,NA
269,0.602564103,NA,0.576923077,0.555555556,0.789473684,0.3125,NA
270,0.833333333,NA,0.791666667,0.727272727,0.863636364,0.615384615,NA
271,0.755244755,NA,0.636363636,0.769230769,0.823529412,0.555555556,NA
272,0.688,NA,0.8,0.4,0.769230769,0.444444444,NA
273,0.662878788,NA,0.541666667,0.818181818,0.866666667,0.45,NA
274,0.74,NA,0.64,0.7,0.842105263,0.4375,NA
275,0.833333333,NA,0.807692308,0.555555556,0.84,0.5,NA
276,0.728,NA,0.72,0.6,0.818181818,0.461538462,NA
277,0.797202797,NA,0.772727273,0.615384615,0.772727273,0.615384615,NA
278,0.753623188,NA,0.826086957,0.416666667,0.730769231,0.555555556,NA
279,0.77173913,NA,0.739130435,0.416666667,0.708333333,0.454545455,NA
280,0.792,NA,0.6,0.8,0.882352941,0.444444444,NA
281,0.708,NA,0.76,0.6,0.826086957,0.5,NA
282,0.844202899,NA,0.869565217,0.583333333,0.8,0.7,NA
283,0.773504274,NA,0.692307692,0.666666667,0.857142857,0.428571429,NA
284,0.65530303,NA,0.833333333,0.454545455,0.769230769,0.555555556,NA
285,0.695652174,NA,0.782608696,0.5,0.75,0.545454545,NA
286,0.764,NA,0.76,0.6,0.826086957,0.5,NA
287,0.786231884,NA,0.913043478,0.5,0.777777778,0.75,NA
288,0.673469388,NA,0.476190476,0.785714286,0.769230769,0.5,NA
289,0.815217391,NA,0.913043478,0.416666667,0.75,0.714285714,NA
290,0.671296296,NA,0.518518519,0.75,0.875,0.315789474,NA
291,0.644927536,NA,0.608695652,0.583333333,0.736842105,0.4375,NA
292,0.724637681,NA,0.652173913,0.75,0.833333333,0.529411765,NA
293,0.590909091,NA,0.5,0.545454545,0.705882353,0.333333333,NA
294,0.753333333,NA,0.9,0.466666667,0.692307692,0.777777778,NA
295,0.724137931,NA,0.689655172,0.666666667,0.909090909,0.307692308,NA
296,0.653061224,NA,0.571428571,0.571428571,0.842105263,0.25,NA
297,0.482905983,NA,0.615384615,0.333333333,0.727272727,0.230769231,NA
298,0.732,NA,0.84,0.3,0.75,0.428571429,NA
299,0.75,NA,0.7,0.6,0.7,0.6,NA
300,0.688034188,NA,0.653846154,0.444444444,0.772727273,0.307692308,NA
301,0.729591837,NA,0.714285714,0.571428571,0.869565217,0.333333333,NA
302,0.78,NA,0.72,0.6,0.818181818,0.461538462,NA
303,0.773504274,NA,0.692307692,0.666666667,0.857142857,0.428571429,NA
304,0.712121212,NA,0.625,0.636363636,0.789473684,0.4375,NA
305,0.75,NA,0.678571429,0.714285714,0.904761905,0.357142857,NA
306,0.712121212,NA,0.75,0.636363636,0.818181818,0.538461538,NA
307,0.70979021,NA,0.681818182,0.538461538,0.714285714,0.5,NA
308,0.819727891,NA,0.857142857,0.428571429,0.692307692,0.666666667,NA
309,0.561594203,NA,0.652173913,0.25,0.625,0.272727273,NA
310,0.685606061,NA,0.833333333,0.363636364,0.740740741,0.5,NA
311,0.833333333,NA,0.807692308,0.555555556,0.84,0.5,NA
312,0.692028986,NA,0.608695652,0.666666667,0.777777778,0.470588235,NA
313,0.71969697,NA,0.708333333,0.545454545,0.772727273,0.461538462,NA
314,0.81884058,NA,0.652173913,0.833333333,0.882352941,0.555555556,NA
315,0.59469697,NA,0.708333333,0.454545455,0.739130435,0.416666667,NA
316,0.833333333,NA,0.739130435,0.75,0.85,0.6,NA
317,0.684782609,NA,0.608695652,0.583333333,0.736842105,0.4375,NA
318,0.794871795,NA,0.615384615,0.777777778,0.888888889,0.411764706,NA
319,0.721014493,NA,0.652173913,0.666666667,0.789473684,0.5,NA
320,0.732,NA,0.76,0.5,0.791666667,0.454545455,NA
321,0.676870748,NA,0.523809524,0.714285714,0.733333333,0.5,NA
322,0.775362319,NA,0.826086957,0.583333333,0.791666667,0.636363636,NA
323,0.664,NA,0.64,0.4,0.727272727,0.307692308,NA
324,0.689814815,NA,0.740740741,0.5,0.833333333,0.363636364,NA
325,0.901515152,NA,1,0.545454545,0.827586207,1,NA
326,0.818181818,NA,0.772727273,0.384615385,0.68,0.5,NA
327,0.700854701,NA,0.615384615,0.777777778,0.888888889,0.411764706,NA
328,0.760683761,NA,0.923076923,0.444444444,0.827586207,0.666666667,NA
329,0.639455782,NA,0.571428571,0.428571429,0.6,0.4,NA
330,0.764492754,NA,0.869565217,0.25,0.689655172,0.5,NA
331,0.591836735,NA,0.678571429,0.571428571,0.863636364,0.307692308,NA
332,0.744897959,NA,0.761904762,0.642857143,0.761904762,0.642857143,NA
333,0.746376812,NA,0.695652174,0.5,0.727272727,0.461538462,NA
334,0.792,NA,0.8,0.6,0.833333333,0.545454545,NA
335,0.710144928,NA,0.739130435,0.5,0.739130435,0.5,NA
336,0.721014493,NA,0.869565217,0.25,0.689655172,0.5,NA
337,0.733552632,NA,0.736842105,0.625,0.7,0.666666667,NA
338,0.653061224,NA,0.80952381,0.5,0.708333333,0.636363636,NA
339,0.744755245,NA,0.636363636,0.615384615,0.736842105,0.5,NA
340,0.644927536,NA,0.652173913,0.5,0.714285714,0.428571429,NA
341,0.656,NA,0.64,0.5,0.761904762,0.357142857,NA
342,0.786231884,NA,0.826086957,0.416666667,0.730769231,0.555555556,NA
343,0.778911565,NA,0.714285714,0.5,0.681818182,0.538461538,NA
344,0.797202797,NA,0.681818182,0.615384615,0.75,0.533333333,NA
345,0.799145299,NA,0.653846154,0.777777778,0.894736842,0.4375,NA
346,0.602040816,NA,0.571428571,0.571428571,0.842105263,0.25,NA
347,0.66,NA,0.72,0.3,0.72,0.3,NA
348,0.656,NA,0.68,0.4,0.739130435,0.333333333,NA
349,0.862318841,NA,0.826086957,0.666666667,0.826086957,0.666666667,NA
350,0.709401709,NA,0.615384615,0.555555556,0.8,0.333333333,NA
351,0.702898551,NA,0.782608696,0.583333333,0.782608696,0.583333333,NA
352,0.71969697,NA,0.625,0.545454545,0.75,0.4,NA
353,0.846666667,NA,0.8,0.733333333,0.8,0.733333333,NA
354,0.679487179,NA,0.615384615,0.555555556,0.8,0.333333333,NA
355,0.653061224,NA,0.761904762,0.428571429,0.666666667,0.545454545,NA
356,0.844,NA,0.88,0.8,0.916666667,0.727272727,NA
357,0.763888889,NA,0.555555556,0.875,0.9375,0.368421053,NA
358,0.674825175,NA,0.818181818,0.384615385,0.692307692,0.555555556,NA
359,0.612318841,NA,0.652173913,0.333333333,0.652173913,0.333333333,NA
360,0.733870968,NA,0.677419355,0.75,0.954545455,0.230769231,NA
361,0.757246377,NA,0.608695652,0.75,0.823529412,0.5,NA
362,0.765151515,NA,0.666666667,0.727272727,0.842105263,0.5,NA
363,0.722222222,NA,0.62962963,0.625,0.85,0.333333333,NA
364,0.803030303,NA,0.75,0.636363636,0.818181818,0.538461538,NA
365,0.663333333,NA,0.65,0.533333333,0.65,0.533333333,NA
366,0.684,NA,0.76,0.6,0.826086957,0.5,NA
367,0.713675214,NA,0.730769231,0.555555556,0.826086957,0.416666667,NA
368,0.676,NA,0.52,0.6,0.764705882,0.333333333,NA
369,0.776315789,NA,0.842105263,0.5625,0.695652174,0.75,NA
370,0.56462585,NA,0.523809524,0.571428571,0.647058824,0.444444444,NA
371,0.714285714,NA,0.619047619,0.714285714,0.764705882,0.555555556,NA
372,0.678321678,NA,0.636363636,0.538461538,0.7,0.466666667,NA
373,0.699300699,NA,0.909090909,0.384615385,0.714285714,0.714285714,NA
374,0.652,NA,0.4,0.9,0.909090909,0.375,NA
375,0.91954023,NA,0.551724138,1,1,0.315789474,NA
376,0.796,NA,0.8,0.4,0.769230769,0.444444444,NA
377,0.696666667,NA,0.7,0.533333333,0.666666667,0.571428571,NA
378,0.747863248,NA,0.769230769,0.444444444,0.8,0.4,NA
379,0.700757576,NA,0.791666667,0.363636364,0.730769231,0.444444444,NA
380,0.670940171,NA,0.692307692,0.555555556,0.818181818,0.384615385,NA
381,0.794871795,NA,0.730769231,0.666666667,0.863636364,0.461538462,NA
382,0.755244755,NA,0.772727273,0.692307692,0.80952381,0.642857143,NA
383,0.810606061,NA,0.916666667,0.454545455,0.785714286,0.714285714,NA
384,0.738095238,NA,0.857142857,0.357142857,0.666666667,0.625,NA
385,0.772,NA,0.76,0.6,0.826086957,0.5,NA
386,0.615646259,NA,0.714285714,0.5,0.681818182,0.538461538,NA
387,0.596666667,NA,0.45,0.333333333,0.473684211,0.3125,NA
388,0.653846154,NA,0.681818182,0.461538462,0.681818182,0.461538462,NA
389,0.740740741,NA,0.666666667,0.625,0.857142857,0.357142857,NA
390,0.657342657,NA,0.772727273,0.307692308,0.653846154,0.444444444,NA
391,0.806666667,NA,0.733333333,0.8,0.956521739,0.333333333,NA
